method,family,round_or_epochs,loss,global_accuracy,global_f1_score,patient_global_accuracy,patient_global_f1_score
centralized_all,baseline,20,0.0001165813415778,1.0,1.0,1.0,1.0
local_only_FLAIR,baseline,20,1.0399571212112846,0.7847985347985348,0.7785834255048953,0.75,0.7392857142857142
local_only_T1w,baseline,20,2.5904057309615736,0.75,0.7265625,0.75,0.7265625
local_only_hospital_1_FLAIR,baseline,20,0.8890994593444355,0.7793040293040293,0.7724848798766457,0.75,0.7392857142857142
local_only_hospital_2_FLAIR,baseline,20,0.2681170137555596,0.8956043956043956,0.8953747477840655,0.9583333333333334,0.9584057971014494
local_only_hospital_3_T1w,baseline,20,2.1413284209420587,0.75,0.7265625,0.75,0.7265625
local_only_hospital_4_T1w,baseline,20,3.2182530615422538,0.75,0.7265625,0.75,0.7265625
FedAvg,federated,10,0.0425724550033494,0.9892399267399268,0.9892304809430666,1.0,1.0
FedProx_mu_0p001,federated,10,0.0303411995696017,0.9892399267399268,0.9892467885747236,1.0,1.0
FedProx_mu_0p01,federated,10,0.0222798248296495,0.992445054945055,0.9924430997140826,1.0,1.0
FedProx_mu_0p1,federated,10,0.0748510074725971,0.975503663003663,0.975464922818476,0.9791666666666666,0.9791209594851544
