experiment_name,strategy,strategy_variant,proximal_mu,hospital_id,accuracy,f1_score,sensitivity,specificity
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,1,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,2,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,3,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedAvg,FedAvg,FedAvg,0.0,4,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,1,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,2,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,3,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p001,FedProx,FedProx_mu_0p001,0.001,4,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,1,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,2,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,3,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p01,FedProx,FedProx_mu_0p01,0.01,4,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,1,0.9230769230769232,0.922144522144522,0.8333333333333334,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,2,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,3,1.0,1.0,1.0,1.0
FTL_FLAIR_vs_T1w_FedProx_mu_0p1,FedProx,FedProx_mu_0p1,0.1,4,1.0,1.0,1.0,1.0
